ProdID;OrderDate;ShippedBy;Zip;Country;Qty;UnitPrice;UnitCost
491;01/15/2017;The Pickup Guys;K1R;Canada;3;81.5325;40.0537
757;01/15/2017;PHL;M5P;Canada;1;83.9475;38.4105
2255;01/15/2017;King Shippers;V5Y;Canada;1;57.6975;32.6402
326;01/15/2017;SPU;R3G;Canada;1;78.7208;37.2455
2234;01/15/2017;SpeedEx;V6G;Canada;1;65.5725;36.7192
767;01/15/2017;American Eagle;R3W;Canada;1;104.9475;46.8049
604;01/15/2017;PHL;L5R;Canada;1;153.9125;66.8259
396;01/15/2017;SpeedEx;V6Z;Canada;1;85.7063;48.0860
491;01/15/2017;American Eagle;K1Y;Canada;3;81.5325;40.0537
767;01/15/2017;American Eagle;T5V;Canada;1;104.9475;46.8049
726;01/15/2017;PHL;H1B;Canada;1;115.4475;51.2439
725;01/15/2017;SPU;T5V;Canada;1;115.4475;48.5819
2254;01/15/2017;Speedissimo;M6H;Canada;2;57.6975;26.9773
757;01/15/2017;The Pickup Guys;R3G;Canada;1;83.9475;38.4105
758;01/15/2017;BD Kerschen;R3G;Canada;1;83.9475;38.4105
2255;01/15/2017;PHL;V6E;Canada;1;57.6975;32.6402
604;01/15/2017;American Eagle;V6H;Canada;1;153.9125;66.8259
768;01/15/2017;American Eagle;M5A;Canada;1;104.9475;46.1971
726;01/15/2017;BD Kerschen;M4X;Canada;1;115.4475;51.2439
1014;01/15/2017;SPU;R2G;Canada;1;86.5725;41.3162
838;01/15/2017;PHL;M4V;Canada;1;94.4948;47.6785
1894;01/15/2017;American Eagle;K2P;Canada;1;227.4125;114.4142
758;01/15/2017;The Pickup Guys;R3T;Canada;1;83.9475;38.4105
713;01/15/2017;Speedissimo;H1B;Canada;1;160.0725;93.3197
727;01/15/2017;The Pickup Guys;M5P;Canada;1;62.9475;27.1678
1109;01/15/2017;BD Kerschen;M5P;Canada;1;69.9825;42.7955
609;01/15/2017;PHL;R3X;Canada;1;259.6125;119.4188
769;01/15/2017;SpeedEx;V5V;Canada;1;85.7325;51.3569
681;01/15/2017;World Connection;M5X;Canada;1;209.9125;132.3155
753;01/16/2017;SPU;R3H;Canada;1;81.3575;36.7408
726;01/16/2017;American Eagle;T5V;Canada;1;115.4475;51.2439
758;01/16/2017;SpeedEx;V6Z;Canada;1;83.9475;38.4105
2234;01/16/2017;World Connection;L4Y;Canada;1;65.5725;36.7192
837;01/16/2017;PHL;V7M;Canada;1;81.3698;41.5799
740;01/16/2017;SPU;M4V;Canada;1;170.5725;78.5118
2056;01/16/2017;PHL;V7Y;Canada;1;72.3217;31.9687
770;01/16/2017;SPU;V6H;Canada;1;85.7325;51.3569
683;01/16/2017;American Eagle;T5G;Canada;1;262.6750;145.3359
757;01/16/2017;SpeedEx;V6M;Canada;1;83.9475;38.4105
604;01/16/2017;American Eagle;T6K;Canada;1;153.9125;66.8259
1046;01/16/2017;PHL;T5J;Canada;1;9.9698;4.6829
728;01/16/2017;PHL;R3G;Canada;1;62.9475;31.0858
2235;01/16/2017;SpeedEx;L4Y;Canada;1;65.5725;42.1664
768;01/16/2017;The Pickup Guys;R2G;Canada;1;104.9475;46.1971
2235;01/16/2017;SpeedEx;T5K;Canada;1;65.5725;42.1664
1517;01/16/2017;SpeedEx;L5P;Canada;1;141.6450;83.7245
1111;01/16/2017;The Pickup Guys;M5X;Canada;1;116.4975;65.2382
604;01/16/2017;The Pickup Guys;T6S;Canada;1;153.9125;66.8259
2235;01/16/2017;American Eagle;H1B;Canada;2;65.5725;42.1664
195;01/16/2017;The Pickup Guys;M7Y;Canada;1;250.0750;114.2276
2235;01/16/2017;SPU;V6G;Canada;1;65.5725;42.1664
768;01/16/2017;The Pickup Guys;R3W;Canada;1;104.9475;46.1971
676;01/16/2017;SpeedEx;T6E;Canada;1;267.3125;134.1523
726;01/16/2017;The Pickup Guys;T2X;Canada;1;115.4475;51.2439
1949;01/16/2017;SPU;R2G;Canada;1;98.8575;55.2267
795;01/16/2017;The Pickup Guys;V5Z;Canada;1;91.8575;52.0489
2056;01/16/2017;PHL;H1B;Canada;1;72.3217;31.9687
1014;01/16/2017;PHL;M7Y;Canada;1;86.5725;41.3162
2056;01/16/2017;SPU;T2X;Canada;1;72.3217;31.9687
726;01/16/2017;The Pickup Guys;V6Z;Canada;2;115.4475;51.2439
2234;01/16/2017;BD Kerschen;V5W;Canada;1;65.5725;36.7192
770;01/16/2017;The Pickup Guys;V5V;Canada;1;85.7325;51.3569
767;01/16/2017;PHL;T6V;Canada;1;104.9475;46.8049
609;01/16/2017;World Connection;T6T;Canada;1;259.6125;119.4188
604;01/16/2017;PHL;R3H;Canada;1;153.9125;66.8259
726;01/16/2017;BD Kerschen;K1R;Canada;1;115.4475;51.2439
1014;01/16/2017;SpeedEx;V6T;Canada;1;86.5725;41.3162
522;01/16/2017;SpeedEx;M5L;Canada;1;34.7084;18.9508
757;01/16/2017;PHL;K1N;Canada;1;83.9475;38.4105
768;01/16/2017;SpeedEx;T6V;Canada;1;104.9475;46.1971
573;01/16/2017;American Eagle;V7P;Canada;1;93.5375;44.7266
1948;01/16/2017;SPU;R2G;Canada;1;98.8575;61.8849
796;01/16/2017;SpeedEx;V5Z;Canada;1;91.8575;46.2225
2254;01/16/2017;The Pickup Guys;V7M;Canada;1;57.6975;26.9773
1005;01/16/2017;American Eagle;T2X;Canada;1;107.5725;51.4791
725;01/16/2017;American Eagle;K1R;Canada;1;115.4475;48.5819
1173;01/16/2017;King Shippers;L5G;Canada;1;116.6550;52.8212
599;01/16/2017;SpeedEx;L5T;Canada;1;251.2125;125.2257
2045;01/16/2017;SPU;T2P;Canada;1;90.9883;42.3276
599;01/16/2017;American Eagle;K1N;Canada;1;251.2125;125.2257
2254;01/17/2017;SpeedEx;V5Y;Canada;1;57.6975;26.9773
1110;01/17/2017;BD Kerschen;R3R;Canada;1;69.9825;43.6803
2235;01/17/2017;American Eagle;R3N;Canada;1;65.5725;42.1664
767;01/17/2017;American Eagle;R3G;Canada;1;104.9475;46.8049
1003;01/17/2017;American Eagle;T3G;Canada;1;86.5725;48.1252
1079;01/17/2017;PHL;V6B;Canada;1;87.4825;48.9902
2388;01/17/2017;American Eagle;R2P;Canada;1;103.2325;60.2150
609;01/17/2017;PHL;M7Y;Canada;1;259.6125;119.4188
1065;01/17/2017;SpeedEx;T2T;Canada;1;98.8575;55.4066
962;01/17/2017;PHL;T1Y;Canada;1;174.9825;80.2740
1111;01/17/2017;SpeedEx;V5W;Canada;1;116.4975;65.2382
683;01/17/2017;SpeedEx;R3B;Canada;1;262.6750;145.3359
631;01/17/2017;American Eagle;M7Y;Canada;1;115.4125;52.7172
2255;01/17/2017;BD Kerschen;V6M;Canada;1;57.6975;32.6402
2388;01/18/2017;The Pickup Guys;H1G;Canada;1;103.2325;60.2150
1960;01/18/2017;SPU;R3S;Canada;1;97.0725;58.0573
396;01/18/2017;The Pickup Guys;V6T;Canada;1;85.7063;48.0860
767;01/18/2017;SpeedEx;T5Y;Canada;1;102.3225;46.8049
2254;01/18/2017;Speedissimo;R3N;Canada;1;57.6975;26.9773
725;01/18/2017;BD Kerschen;M4X;Canada;1;115.4475;48.5819
2234;01/18/2017;SPU;T5K;Canada;1;65.5725;36.7192
725;01/18/2017;SpeedEx;R3G;Canada;1;115.4475;48.5819
1894;01/18/2017;American Eagle;M6G;Canada;1;227.4125;114.4142
754;01/18/2017;The Pickup Guys;R3H;Canada;1;81.3575;36.7408
768;01/18/2017;BD Kerschen;V6Z;Canada;1;104.9475;46.1971
767;01/18/2017;SpeedEx;R3X;Canada;1;104.9475;46.8049
2235;01/18/2017;The Pickup Guys;V6E;Canada;1;65.5725;42.1664
725;01/18/2017;World Connection;T2X;Canada;1;115.4475;48.5819
727;01/18/2017;PHL;K1Y;Canada;2;62.9475;27.1678
631;01/19/2017;BD Kerschen;T6T;Canada;1;115.4125;52.7172
2235;01/19/2017;PHL;V5W;Canada;1;65.5725;42.1664
728;01/19/2017;American Eagle;R3H;Canada;1;68.1975;31.0858
1449;01/19/2017;PHL;M6S;Canada;1;118.0200;54.3312
1974;01/19/2017;BD Kerschen;R3S;Canada;1;52.4475;33.0591
1120;01/19/2017;SPU;R3V;Canada;1;173.1975;96.3817
1990;01/19/2017;SPU;R3V;Canada;1;257.1975;150.0225
396;01/19/2017;SpeedEx;T6T;Canada;1;85.7063;48.0860
739;01/19/2017;SPU;R3G;Canada;1;170.5725;78.5118
645;01/19/2017;SpeedEx;M6G;Canada;1;248.8500;113.7457
1948;01/19/2017;SpeedEx;K1R;Canada;1;98.8575;61.8849
2279;01/20/2017;American Eagle;R3V;Canada;1;165.3225;73.3993
767;01/20/2017;American Eagle;M5A;Canada;1;104.9475;46.8049
2255;01/20/2017;BD Kerschen;R3N;Canada;1;57.6975;32.6402
2234;01/20/2017;SpeedEx;V6T;Canada;1;65.5725;36.7192
645;01/20/2017;SpeedEx;T6R;Canada;1;248.8500;113.7457
2056;01/20/2017;BD Kerschen;R2W;Canada;1;72.3217;31.9687
2234;01/20/2017;The Pickup Guys;R3N;Canada;1;65.5725;36.7192
609;01/20/2017;King Shippers;T2Y;Canada;1;259.6125;119.4188
725;01/20/2017;SPU;H1B;Canada;1;115.4475;48.5819
1080;01/20/2017;American Eagle;V6B;Canada;1;87.4825;54.6034
1110;01/20/2017;World Connection;M5P;Canada;1;69.9825;43.6803
758;01/20/2017;American Eagle;V7Y;Canada;1;83.9475;38.4105
992;02/15/2017;BD Kerschen;H1B;Canada;1;96.2325;54.9627
1191;02/15/2017;American Eagle;V6Z;Canada;1;87.4825;38.0252
400;02/15/2017;World Connection;K1N;Canada;1;68.3813;31.4664
604;02/15/2017;PHL;R2M;Canada;1;153.9125;66.8259
550;02/15/2017;PHL;T5N;Canada;1;134.6625;59.2216
396;02/15/2017;American Eagle;V7W;Canada;1;85.7063;48.0860
2056;02/15/2017;American Eagle;M4E;Canada;1;72.3217;31.9687
599;02/15/2017;World Connection;M6H;Canada;1;251.2125;125.2257
753;02/15/2017;SPU;R3E;Canada;1;81.3575;36.7408
580;02/15/2017;World Connection;V5N;Canada;1;244.9125;118.3546
758;02/15/2017;World Connection;T6E;Canada;1;83.9475;38.4105
2373;02/15/2017;Speedissimo;T6S;Canada;1;183.7325;94.8706
767;02/15/2017;World Connection;V6M;Canada;1;104.9475;46.8049
609;02/15/2017;SPU;T2J;Canada;1;259.6125;119.4188
599;02/15/2017;PHL;T6J;Canada;1;251.2125;125.2257
2388;02/15/2017;SpeedEx;K1K;Canada;1;103.2325;60.2150
658;02/15/2017;SpeedEx;T5W;Canada;1;300.9125;188.4464
2407;02/15/2017;BD Kerschen;R3H;Canada;1;73.4475;32.8217
2284;02/15/2017;BD Kerschen;K1Y;Canada;1;293.9475;128.2860
2210;02/15/2017;SpeedEx;V7Y;Canada;1;107.5725;47.5927
491;02/15/2017;SpeedEx;M4E;Canada;3;81.5325;40.0537
725;02/15/2017;American Eagle;V5Z;Canada;1;115.4475;48.5819
2081;02/15/2017;American Eagle;M7Y;Canada;1;73.4825;33.5648
757;02/15/2017;American Eagle;T6E;Canada;1;83.9475;38.4105
990;02/15/2017;World Connection;T6E;Canada;1;167.9825;72.1879
609;02/15/2017;SpeedEx;M4Y;Canada;1;259.6125;119.4188
754;02/15/2017;SpeedEx;V7N;Canada;1;81.3575;36.7408
609;02/15/2017;American Eagle;L5T;Canada;1;259.6125;119.4188
753;02/15/2017;Speedissimo;R3G;Canada;1;81.3575;36.7408
2056;02/15/2017;Speedissimo;L4X;Canada;1;71.1550;31.9687
990;02/15/2017;PHL;R3N;Canada;1;157.4825;72.1879
769;02/15/2017;BD Kerschen;L5N;Canada;1;85.7325;51.3569
2331;02/15/2017;American Eagle;R3X;Canada;1;118.9883;45.7262
1188;02/15/2017;PHL;V7R;Canada;1;104.9883;39.6446
2331;02/15/2017;BD Kerschen;R2W;Canada;1;118.9883;45.7262
728;02/15/2017;SpeedEx;T6T;Canada;1;62.9475;31.0858
962;02/15/2017;American Eagle;L5G;Canada;1;174.9825;80.2740
2254;02/15/2017;SpeedEx;T5K;Canada;1;57.6975;26.9773
990;02/15/2017;World Connection;K1S;Canada;1;160.9825;72.1879
727;02/15/2017;SPU;V5Z;Canada;1;62.9475;27.1678
2374;02/15/2017;World Connection;V7M;Canada;1;209.9825;117.5902
768;02/15/2017;SpeedEx;R3H;Canada;1;104.9475;46.1971
1008;02/15/2017;SpeedEx;V5Z;Canada;1;104.9767;63.7340
767;02/15/2017;PHL;R3H;Canada;1;104.9475;46.8049
2235;02/15/2017;BD Kerschen;R3B;Canada;1;65.5725;42.1664
1949;02/15/2017;World Connection;V6M;Canada;1;97.9825;55.2267
1185;02/15/2017;BD Kerschen;T5K;Canada;2;93.3217;53.5561
2074;02/15/2017;American Eagle;M4V;Canada;1;109.3575;59.7087
2254;02/15/2017;BD Kerschen;R3B;Canada;1;57.6975;26.9773
726;02/15/2017;World Connection;M7Y;Canada;1;115.4475;51.2439
1188;02/15/2017;World Connection;T5K;Canada;1;104.9883;39.6446
94;02/15/2017;BD Kerschen;T6V;Canada;1;86.6250;51.3356
853;02/15/2017;SpeedEx;M4Y;Canada;1;45.6698;20.6032
1329;02/15/2017;American Eagle;R3H;Canada;1;92.8200;46.2521
2407;02/15/2017;PHL;T3G;Canada;1;73.4475;32.8217
767;02/15/2017;American Eagle;L5N;Canada;2;104.9475;46.8049
443;02/15/2017;SpeedEx;T5Y;Canada;1;79.0913;41.6321
2277;02/15/2017;World Connection;M6S;Canada;1;251.9475;106.0319
992;02/15/2017;SpeedEx;V6G;Canada;1;92.7325;54.9627
1014;02/15/2017;Speedissimo;T5H;Canada;1;86.5725;41.3162
1426;02/15/2017;PHL;V5Z;Canada;1;95.3400;54.7144
1975;02/15/2017;PHL;T6T;Canada;1;52.4475;24.6506
2050;02/15/2017;World Connection;T2J;Canada;1;110.8217;60.5086
740;02/15/2017;PHL;V6A;Canada;1;170.5725;78.5118
683;02/16/2017;PHL;R2N;Canada;1;262.6750;145.3359
2407;02/16/2017;BD Kerschen;R3B;Canada;1;73.4475;32.8217
491;02/16/2017;SpeedEx;T3R;Canada;3;81.5325;40.0537
726;02/16/2017;PHL;V6M;Canada;1;115.4475;51.2439
1166;02/16/2017;PHL;R3W;Canada;1;118.9883;45.0744
2016;02/16/2017;BD Kerschen;M7Y;Canada;1;59.8396;28.5215
1065;02/16/2017;PHL;R3V;Canada;1;98.8575;55.4066
1014;02/16/2017;SPU;T6R;Canada;1;86.5725;41.3162
550;02/16/2017;American Eagle;R3W;Canada;1;134.6625;59.2216
645;02/16/2017;SpeedEx;T6T;Canada;1;248.8500;113.7457
1173;02/16/2017;American Eagle;R3V;Canada;1;116.6550;52.8212
769;02/16/2017;SPU;L5P;Canada;1;85.7325;51.3569
1167;02/16/2017;SpeedEx;V5T;Canada;1;68.8217;37.8052
989;02/16/2017;PHL;M6H;Canada;1;155.7325;72.4643
609;02/16/2017;BD Kerschen;H1B;Canada;1;259.6125;119.4188
2234;02/16/2017;PHL;R3G;Canada;1;65.5725;36.7192
740;02/16/2017;The Pickup Guys;V6T;Canada;1;170.5725;78.5118
901;02/16/2017;American Eagle;M7Y;Canada;1;90.9883;47.6868
726;02/16/2017;SPU;V5Z;Canada;1;115.4475;51.2439
2045;02/16/2017;BD Kerschen;L5N;Canada;1;90.9883;42.3276
596;02/16/2017;The Pickup Guys;T1Y;Canada;1;248.8500;137.2965
658;02/16/2017;BD Kerschen;T5G;Canada;1;300.9125;188.4464
2050;02/16/2017;SPU;T6K;Canada;1;110.8217;60.5086
1330;02/16/2017;SPU;R3E;Canada;1;92.8200;51.3912
1173;02/16/2017;PHL;V6C;Canada;1;116.6550;52.8212
901;02/16/2017;Speedissimo;R3B;Canada;1;90.9883;47.6868
1111;02/16/2017;PHL;R3T;Canada;1;116.4975;65.2382
726;02/16/2017;The Pickup Guys;R3H;Canada;1;115.4475;51.2439
940;02/16/2017;BD Kerschen;T2C;Canada;1;229.2325;107.1512
2388;02/16/2017;SpeedEx;T2C;Canada;1;103.2325;60.2150
838;02/16/2017;SpeedEx;V6Z;Canada;1;93.4448;47.6785
597;02/16/2017;SpeedEx;V7W;Canada;1;297.4125;180.0084
2277;02/16/2017;SpeedEx;K1Y;Canada;1;251.9475;106.0319
2056;02/16/2017;SpeedEx;L5R;Canada;1;72.3217;31.9687
1122;02/16/2017;SpeedEx;T3G;Canada;1;157.4475;68.9508
990;02/16/2017;SpeedEx;T2Z;Canada;1;152.2325;72.1879
609;02/16/2017;PHL;L4X;Canada;1;259.6125;119.4188
491;02/16/2017;SPU;V6Z;Canada;2;81.5325;40.0537
631;02/16/2017;The Pickup Guys;L5N;Canada;1;115.4125;52.7172
728;02/16/2017;PHL;V5Z;Canada;1;62.9475;31.0858
683;02/16/2017;PHL;R3H;Canada;1;262.6750;145.3359
2056;02/16/2017;American Eagle;T6G;Canada;1;72.3217;31.9687
2331;02/16/2017;SpeedEx;V6C;Canada;1;118.9883;45.7262
1120;02/16/2017;The Pickup Guys;R3V;Canada;1;173.1975;96.3817
1225;02/16/2017;PHL;L5N;Canada;1;78.7325;41.4789
2373;02/16/2017;PHL;T6J;Canada;1;183.7325;94.8706
550;02/16/2017;SpeedEx;M7Y;Canada;1;134.6625;59.2216
606;02/16/2017;SPU;R3G;Canada;1;104.9125;57.8479
862;02/16/2017;World Connection;T6E;Canada;1;32.5396;18.0417
609;02/16/2017;SpeedEx;M6G;Canada;1;259.6125;119.4188
2331;02/16/2017;American Eagle;T2X;Canada;1;118.9883;45.7262
2045;02/16/2017;SpeedEx;K1P;Canada;1;90.9883;42.3276
769;02/16/2017;World Connection;T6J;Canada;1;85.7325;51.3569
1641;02/16/2017;PHL;T6K;Canada;1;70.7700;44.8412
2064;02/16/2017;BD Kerschen;M5R;Canada;1;108.4883;46.9187
609;02/16/2017;American Eagle;M4E;Canada;1;259.6125;119.4188
2255;02/16/2017;SpeedEx;T5K;Canada;1;57.6975;32.6402
609;02/16/2017;BD Kerschen;T6E;Canada;1;259.6125;119.4188
770;02/16/2017;American Eagle;T6J;Canada;1;85.7325;51.3569
758;02/16/2017;PHL;T2A;Canada;1;83.9475;38.4105
1066;02/16/2017;PHL;K2P;Canada;1;98.8575;50.5179
2255;02/16/2017;American Eagle;R3B;Canada;1;57.6975;32.6402
606;02/16/2017;World Connection;V5M;Canada;1;104.9125;57.8479
683;02/16/2017;SpeedEx;K1R;Canada;1;262.6750;145.3359
2199;02/16/2017;BD Kerschen;R3H;Canada;1;17.8448;7.7334
1960;02/16/2017;The Pickup Guys;T5Y;Canada;1;97.0725;58.0573
475;02/16/2017;SpeedEx;R3H;Canada;1;97.0200;43.5654
739;02/16/2017;SpeedEx;V6A;Canada;1;170.5725;78.5118
2388;02/16/2017;World Connection;T3G;Canada;1;103.2325;60.2150
1961;02/16/2017;SPU;T5Y;Canada;1;97.0725;52.2295
499;02/16/2017;PHL;V6Z;Canada;1;84.6300;40.1748
823;02/16/2017;The Pickup Guys;R3X;Canada;1;61.9448;23.7294
979;02/16/2017;King Shippers;V5W;Canada;1;136.4825;59.0740
1112;02/16/2017;SpeedEx;R3T;Canada;1;116.4975;72.7129
1330;02/17/2017;SPU;R3H;Canada;1;92.8200;51.3912
2255;02/17/2017;BD Kerschen;M4V;Canada;1;57.6975;32.6402
1957;02/17/2017;SpeedEx;R3G;Canada;2;153.7725;86.3265
914;02/17/2017;BD Kerschen;R3W;Canada;1;128.3217;54.3516
443;02/18/2017;SPU;V6T;Canada;1;79.0913;41.6321
725;02/18/2017;BD Kerschen;V5N;Canada;1;115.4475;48.5819
1014;02/18/2017;SpeedEx;R3C;Canada;1;86.5725;41.3162
687;02/18/2017;PHL;T6T;Canada;1;148.6625;68.7278
1450;02/18/2017;SpeedEx;T6V;Canada;1;118.0200;55.6787
559;02/18/2017;BD Kerschen;K1K;Canada;1;195.2125;99.9110
1185;02/18/2017;Speedissimo;L5N;Canada;1;93.3217;53.5561
1065;02/18/2017;BD Kerschen;K2P;Canada;1;98.8575;55.4066
2056;02/18/2017;SpeedEx;T2X;Canada;1;72.3217;31.9687
396;02/18/2017;SPU;M4R;Canada;1;85.7063;48.0860
676;02/18/2017;SpeedEx;M5X;Canada;1;267.3125;134.1523
1173;02/18/2017;American Eagle;V6M;Canada;1;116.6550;52.8212
725;02/18/2017;SPU;V6M;Canada;1;115.4475;48.5819
1425;02/18/2017;PHL;V5Z;Canada;1;95.3400;46.0733
683;02/18/2017;BD Kerschen;T2Y;Canada;1;262.6750;145.3359
754;02/18/2017;SpeedEx;R3E;Canada;1;81.3575;36.7408
1191;02/19/2017;SPU;R3G;Canada;1;87.4825;38.0252
1329;02/19/2017;SpeedEx;R3E;Canada;1;92.8200;46.2521
120;02/19/2017;PHL;T3J;Canada;1;82.9500;36.8103
2284;02/19/2017;SPU;V7Y;Canada;1;293.9475;128.2860
770;02/19/2017;World Connection;L5N;Canada;1;85.7325;51.3569
580;02/19/2017;World Connection;M4M;Canada;1;244.9125;118.3546
901;02/19/2017;SPU;L5P;Canada;1;90.9883;47.6868
676;02/19/2017;BD Kerschen;R3G;Canada;1;267.3125;134.1523
1948;02/19/2017;SpeedEx;V6M;Canada;1;97.9825;61.8849
1975;02/19/2017;American Eagle;M6H;Canada;1;52.4475;24.6506
2074;02/19/2017;Speedissimo;M5P;Canada;1;109.3575;59.7087
1225;02/19/2017;BD Kerschen;T6G;Canada;1;78.7325;41.4789
604;02/19/2017;SpeedEx;R3G;Canada;2;153.9125;66.8259
1956;02/19/2017;The Pickup Guys;R3G;Canada;2;153.7725;77.6987
604;02/19/2017;American Eagle;V6H;Canada;1;153.9125;66.8259
768;02/19/2017;SPU;V6M;Canada;1;104.9475;46.1971
739;02/20/2017;SpeedEx;V6T;Canada;1;170.5725;78.5118
1003;02/20/2017;PHL;K1A;Canada;1;86.5725;48.1252
725;02/20/2017;American Eagle;R3H;Canada;1;115.4475;48.5819
990;02/20/2017;American Eagle;M4R;Canada;1;160.9825;72.1879
727;02/20/2017;SpeedEx;T6T;Canada;1;62.9475;27.1678
990;02/20/2017;SPU;R2R;Canada;1;176.7325;66.4129
1045;02/20/2017;SPU;V5N;Canada;1;20.7323;9.5115
599;02/20/2017;SPU;M6G;Canada;1;251.2125;125.2257
753;02/20/2017;BD Kerschen;V7N;Canada;1;81.3575;36.7408
1185;02/20/2017;PHL;T6G;Canada;1;93.3217;53.5561
2388;02/20/2017;American Eagle;V7Y;Canada;1;103.2325;60.2150
2045;02/20/2017;The Pickup Guys;V6L;Canada;1;90.9883;42.3276
631;02/20/2017;American Eagle;R3B;Canada;1;115.4125;52.7172
550;02/20/2017;Speedissimo;V6T;Canada;1;134.6625;59.2216
2373;02/20/2017;PHL;K1K;Canada;1;183.7325;94.8706
2279;02/20/2017;SPU;R3E;Canada;1;165.3225;73.3993
1230;02/20/2017;King Shippers;M4E;Canada;1;174.9825;88.1902
1735;03/08/2017;PHL;T1Y;Canada;1;149.9575;95.0154
1734;03/09/2017;The Pickup Guys;T1Y;Canada;1;149.9575;95.0154
757;03/15/2017;American Eagle;T2X;Canada;1;83.9475;38.4105
2012;03/15/2017;American Eagle;L5R;Canada;1;75.5896;38.6115
599;03/15/2017;SPU;R3H;Canada;1;251.2125;125.2257
609;03/15/2017;American Eagle;M6H;Canada;1;259.6125;119.4188
1045;03/15/2017;SpeedEx;L5N;Canada;1;20.7323;9.5115
1974;03/15/2017;American Eagle;R3B;Canada;1;52.4475;33.0591
1053;03/15/2017;SpeedEx;R3N;Canada;1;25.1948;11.6752
2282;03/15/2017;SPU;T2S;Canada;1;304.4475;159.8349
2234;03/15/2017;SPU;V7W;Canada;1;65.5725;36.7192
2047;03/15/2017;PHL;R3C;Canada;1;83.9883;38.8676
936;03/15/2017;BD Kerschen;M7Y;Canada;1;110.8217;54.3239
93;03/15/2017;PHL;V6A;Canada;1;99.2250;51.7530
2056;03/15/2017;SPU;L5N;Canada;1;72.3217;31.9687
767;03/15/2017;American Eagle;T6T;Canada;1;104.9475;46.8049
1961;03/15/2017;PHL;M4E;Canada;1;97.0725;52.2295
2282;03/15/2017;SpeedEx;V6B;Canada;2;304.4475;159.8349
992;03/15/2017;BD Kerschen;T6J;Canada;1;96.2325;54.9627
2380;03/15/2017;Speedissimo;T6G;Canada;1;103.2325;47.3502
989;03/15/2017;SPU;L4V;Canada;1;150.4825;72.4643
2045;03/15/2017;SpeedEx;M4N;Canada;1;90.9883;42.3276
2056;03/15/2017;SPU;V6R;Canada;1;72.3217;31.9687
2056;03/15/2017;The Pickup Guys;M4N;Canada;1;72.3217;31.9687
1065;03/15/2017;PHL;M5X;Canada;1;98.8575;55.4066
2005;03/15/2017;BD Kerschen;L5N;Canada;1;59.8396;27.1791
1014;03/15/2017;American Eagle;R3G;Canada;1;86.5725;41.3162
488;03/15/2017;SPU;M4S;Canada;3;97.0200;51.4794
2282;03/15/2017;PHL;L5T;Canada;1;304.4475;159.8349
797;03/15/2017;American Eagle;T5W;Canada;1;301.8225;153.8474
2374;03/15/2017;The Pickup Guys;V6T;Canada;1;209.9825;117.5902
2235;03/15/2017;BD Kerschen;M4V;Canada;1;65.5725;42.1664
921;03/15/2017;PHL;T3C;Canada;1;116.6550;67.0564
1960;03/15/2017;American Eagle;M4E;Canada;1;97.0725;58.0573
475;03/15/2017;SpeedEx;M6S;Canada;1;97.0200;43.5654
2056;03/15/2017;BD Kerschen;R2W;Canada;1;72.3217;31.9687
936;03/15/2017;World Connection;T5K;Canada;2;110.8217;54.3239
